﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6u1yKoh00WaoSpNp46RzKF","Cumbersome","Seven Mary Three","American Standard","1","2","236973","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1EIXwdOOkXANCJAMInXMez","Sister","The Nixons","Foma","1","4","268800","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5fxfwjQ1OmbnkOlg39HsSO","I Got A Girl","Tripping Daisy","I Am An Elastic Firecracker","1","3","245706","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:37EJtTS7jT5WUyXGZzrwnI","Santa Monica","Everclear","Sparkle And Fade","1","4","191506","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2AAO0bpq6Fad0jNSekFs8G","Fell On Black Days","Soundgarden","Superunknown","1","3","282426","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:48YkpE5enOln5c7jXSTuHL","About A Girl","Nirvana","MTV Unplugged In New York","1","1","218000","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:53eJFr4Mfbw5PXJ01K6cFw","Daughter (Remastered)","Pearl Jam","Vs.","1","3","234333","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2lXHg7BtTNoP39AezyCSfL","Disarm - Remastered","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","6","196905","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1xpd5XqLsrQDBa81ON2kOb","Got You (Where I Want You)","The Flys","Holiday Man","1","2","242453","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5G0vAvojJAb8np3INdsISs","Come Out and Play","The Offspring","Smash [Remastered]","1","7","197800","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4nwgKaHg9TJahiSSmt3X1x","Not Enough Time","INXS","Welcome To Wherever You Are","1","5","250653","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0EMLtepZpcY9T64AVEmyyv","Jerry Was A Race Car Driver","Primus","They Can't All Be Zingers","1","4","191240","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4t17C4ZGrXN59lg1Ut7COM","Unsung","Helmet","Unsung: The Best Of Helmet 1991-1997","1","8","237360","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2nWjhmRImt6LScZIPQMBnM","Sex Type Thing","Stone Temple Pilots","Core","1","2","218293","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6Va1qwqV4lEvbOyPqodbth","Breaking the Girl","Red Hot Chili Peppers","Blood Sugar Sex Magik","1","3","295373","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:72Fvg8cZjBV0y73I4LLpMW","Molly (16 Candles)","Sponge","Hits and B Sides, Vol. 2","1","2","221500","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:19gXFTxlnKQf0xjk5d6Y45","You","Candlebox","The Candlebox Collection","1","3","297173","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1HZ3cUZUw5htSFmah1V8Ko","Shine","Collective Soul","Hints, Allegations & Things Left Unsaid","1","1","306040","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:74KI6d8jEM2zwOAo3luayU","Shimmer","Fuel","Sunburn","1","3","214106","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1ng36571Iyov4HBxUClySn","Pepper","Butthole Surfers","Electriclarryland","1","3","297266","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3NLUIBHlfnMVk81BgxFr42","Feel The Pain - 2007 Remastered","Dinosaur Jr.","Without A Sound","1","1","257946","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5kcQEPksJHTOLQ4In5oGN2","Pets","Porno for Pyros","Porno For Pyros","1","6","216733","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:22goEULcezLAiENbgpJw7k","Into Your Arms","The Lemonheads","Come On Feel The Lemonheads","1","2","164466","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:02lTDOxHeXTHsdwXoz6lpC","In the Meantime","Spacehog","Resident Alien","1","1","299506","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4yYaokH8Owb9bBq84Eba57","Dizz Knee Land","Dada","Puzzle","1","4","246533","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:39sICagGOiysHxoIBRyLLi","My Own Worst Enemy","Lit","My Own Worst Enemy - Single","1","1","169405","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:13ZS2V2RsGWguOYYvIqDN5","Save Yourself","Stabbing Westward","Darkest Days","1","6","253293","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2wO8aOvN1ogLy1N8XT1WJE","This Is a Call","Foo Fighters","Foo Fighters","1","1","233360","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:460Wn6Dq2uMviG5nPXtPnb","Better Days (And the Bottom Drops Out)","Citizen King","Mobile Estates","1","2","207026","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0KEhlgtlk0HuqBIqfGCGdF","State of Love and Trust","Pearl Jam","Singles - Original Motion Picture Soundtrack","1","8","227200","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0h4fRpHrxBeR3XWHmcolaU","Stupid Girl","Garbage","Absolute Garbage","1","4","258133","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3TW48DvQ7ChwY1Yy1tkMaP","Runaway Train","Soul Asylum","Grave Dancers Union","1","3","265866","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6RmSJstgpoFBcflxH1vW1u","Standing Outside a Broken Phone Booth with Money in My Hand","Primitive Radio Gods","21 Alt Rock Anthems","1","9","336706","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2xmJNIkGmYBVoiu1WqA9il","Change - 2002 Digital Remaster","Blind Melon","Best Of Blind Melon","1","2","222240","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0fsz7tJ7UKXT9hliLfO7aE","The Distance","Cake","Fashion Nugget","1","2","179600","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3e2fDgC93LGc9Lbdvr6I9k","River Of Deceit","Mad Season","Above","1","3","302693","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:49t1GWE6ZiEoBgN92oMDdM","Doll Parts","Hole","Live Through This","1","6","211960","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6WGaVdhY8uMWMgxiKpdLVy","Mother Mother","Tracy Bonham","The Burdens Of Being Upright","1","1","180733","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6YtkOhiHmf46w1noltVnF2","Naked Eye","Luscious Jackson","Fever In Fever Out","1","1","280693","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6WkSUgo1VdpzgtiXKlFPcY","Dammit","blink-182","Dude Ranch","1","3","165373","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5kr3j5Clb9rjEposoMyLVt","Welcome to Paradise","Green Day","Dookie","1","5","224133","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:11LmqTE2naFULdEP94AUBa","Heart-Shaped Box","Nirvana","In Utero - 20th Anniversary - Deluxe Edition","1","3","281160","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4pFnV6aV1bnEDqPDGBlrNp","Hurt","Nine Inch Nails","The Downward Spiral","1","14","373333","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2JuasWPUodaUxf5nwNpciQ","Nutshell","Alice In Chains","Jar Of Flies","1","2","259200","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6jc5gHCmrZW1XLcRM3wFlC","Hey Man, Nice Shot - Remastered Version","Filter","Short Bus","1","1","314440","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3ZFwuJwUpIl0GeXsvF1ELf","Nothing Else Matters","Metallica","Metallica","1","8","388733","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5UWwZ5lm5PKu6eKsHAGxOk","Everlong","Foo Fighters","The Colour And The Shape","1","11","250546","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2F5r18ZlLUBqnt0jjhhETm","The Impression That I Get","The Mighty Mighty Bosstones","Let's Face It","1","4","194760","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6gZVQvQZOFpzIy3HblJ20F","Man in the Box","Alice In Chains","Facelift","1","2","284426","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2iVtt0mYIL26IGAgRkhHT5","High","The Cure","Wish","1","2","213333","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1jMaB19DiVR8OihLSuYFOt","Spoonman","Soundgarden","Superunknown (20th Anniversary)","1","8","246920","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:18ZOH3KKu5Elt5ysocFyX4","All Mixed Up","311","311","1","4","179600","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4X3qGigyU6ARi3HP4lWD95","Superman","Goldfinger","Hang-Ups","1","1","185026","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0Jv0PJz6LZdCygPsFnML3a","Novocaine For The Soul","Eels","Meet The EELS: Essential EELS 1996-2006 Vol. 1","1","1","187720","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3Fg4SlOiqKDodVJbAM2Gut","Suck You Dry - 2008 Remaster","Mudhoney","Piece Of Cake","1","6","154253","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4Qbjmdlv1eZDD1u8SWe1pt","Alive","Pearl Jam","Ten","1","3","341160","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2RDgs05sg2vrpwiAEUkWd0","Freak","Silverchair","Freak Show","1","2","226106","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:7fQvQxRK8ik9ZQuNHz7jDO","Everything Zen","Bush","Sixteen Stone","1","1","278133","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4nODXdprsfdCbfUPbvxWS3","Rearviewmirror","Pearl Jam","Vs.","1","8","283706","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0Wl42CUb1phIU9O2aR1wXI","Disarm","The Smashing Pumpkins","(Rotten Apples) The Smashing Pumpkins Greatest Hits","1","6","198466","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0wxoXgSVZexJZ4FBqUohLS","Serve The Servants","Nirvana","In Utero (Explicit Version)","1","1","216906","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3mhOmh4tRKsMfnRmgZfeBm","Far Behind","Candlebox","Candlebox","1","5","299733","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1EzeXGaZdqsA4Nst1AIAL2","Bullet With Butterfly Wings","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness","1","6","257706","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6ibhgnbyJej15Wti5LWmay","Go","Pearl Jam","Vs.","1","1","193000","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6HJujxcjMmVZhd8z5EpPri","Where Did You Sleep Last Night","Nirvana","MTV Unplugged In New York","1","14","308306","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:24oBrG5SNXYV99zlBqkbB4","Say Hello 2 Heaven","Temple Of The Dog","Temple Of The Dog","1","1","382466","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6Yv4NG7FPTOWQmsIFnukmX","Heaven Beside You","Alice In Chains","Alice In Chains","1","4","327893","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:49pZEyqCtOShtAdduKbGM6","Sugar Kane","Sonic Youth","Dirty","1","7","357226","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:6STKx6DGZp774XdgM66Sxb","Little Things","Bush","Sixteen Stone","1","4","264293","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:74irxdVWstNlEQjsvArITq","Crazy","Aerosmith","Get A Grip","1","11","316693","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1AfYo6cKm3yHsJHdmNoGO1","Interstate Love Song","Stone Temple Pilots","Purple","1","4","193613","spotify:user:","2020-04-07T16:44:20Z"
