﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:72d2Dyum5DZrPx4xT2c8OR","I Got Money Now (feat. JID)","Deante' Hitchcock, JID","I Got Money Now (feat. JID)","1","1","218800","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:1w9a84nSrTyjNjYviMYvJh","Permanent","Comethazine","Pandemic","1","3","84960","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:2LVwhU9TnaECops71lFjZX","Don’t Want It","Yung Baby Tate","Don’t Want It","1","1","137600","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:6nbJRr3rjpqcNW099VYwjZ","Pick Yo Homie Up","Lil Zay Osama","Pick Yo Homie Up","1","1","140800","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:6uKo0CTNzDltAb1zpX4NfV","Perky Activated","JayDaYoungan","Perky Activated","1","1","115040","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:12s72PiFaXOVrCyCM2KTiT","Details","Xavier Weeks","Details","1","1","125100","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:7hivUBvRLB6tBoOKPB3tmZ","Never Legit","Lil Gotit","Never Legit","1","1","177205","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:0EIx6nDJU4tNXz6HpKh0ps","Let Me Rock","Zay Hilfigerrr","Let Me Rock","1","1","166452","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:0axytamcq1Gd4qZD5xlDR9","DEMONS","Zaia","DEMONS","1","1","181653","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:222CYzFdozaJ8D7TL0Eo0u","The Mop","TisaKorean, Kblast, Huncho Da Rockstar","The Mop","1","1","249363","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:1WbxXldRuwfXLY7PsJ0SBw","Tokyo Nights","Tm88, MadeinTYO","Tokyo Nights","1","1","240401","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:5sJwRlYM8Wg9vGrfe0FNTO","100 Rounds","Frvrfriday","100 Rounds","1","1","132739","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:0FcnvvYN0qkUCo79rF4xam","I Do The Most (feat. Lil Keed)","WHIPPED CREAM, Lil Keed","I Do The Most (feat. Lil Keed)","1","1","131980","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:2qWJHItGcFihCHR3rpK4z9","Fucc Friends","Shordie Shordie","Fucc Friends","1","1","133140","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:0Sd0kdgU6HrIclxYjuV99j","Break Shit","Jasiah","Break Shit","1","1","95483","spotify:user:","2020-05-01T04:42:47Z"
