﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0PsBdKWnOQGMo9smobflvy","Bubba Shot The Jukebox","Mark Chesnutt","Longnecks & Short Stories","1","6","185840","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:7lUE02KHkZM44BZgjCaWRO","Meet In the Middle","Diamond Rio","Diamond Rio","1","1","198333","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:7riuy1t0Kt3SRgMtFxX0FR","That Ain't My Truck","Rhett Akins","A Thousand Memories","1","5","243106","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:2HmMklpgK8vGCpJmPpz1yG","How Forever Feels","Kenny Chesney","Everywhere We Go","1","2","188200","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:3rvVhgG1inZCtQ1Qf0V5SA","She Don't Know She's Beautiful","Sammy Kershaw","Haunted Heart","1","4","174626","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:59kHPbwyyCApYA8RQQEuXm","Chattahoochee","Alan Jackson","A Lot About Livin' (And A Little 'Bout Love)","1","1","148160","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:7itHyuODr4R7Fdz454zn3F","Daddy's Money","Ricochet","Ricochet","1","1","183493","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:2g0BAZVaLlK8GeTVzF6hQ6","Lesson In Leavin'","Jo Dee Messina","I'm Alright","1","5","220200","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:0NyMrtH8mUuvtJjEpESn7J","Life's a Dance","John Michael Montgomery","Greatest Hits","1","14","188840","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:1UEKaf3j6eXeNbySz761lc","Take It Easy - 2006 Remaster","Travis Tritt","The Very Best of Travis Tritt","1","2","213706","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:7njoWVpJbAiTkyT6rKwbze","If I Could Make a Living","Clay Walker","If I Could Make A Living","1","1","134373","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:59MIR30ATtW8kTaX3SCpq0","Blue Clear Sky","George Strait","Blue Clear Sky","1","1","174866","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:7uLQTOxQ3nwwoHuxwt2AHJ","Small Town Saturday Night","Hal Ketchum","Past The Point Of Rescue","1","1","177986","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:08c3wmdjKSjxTJY9cHSts7","XXX's And OOO's (An American Girl)","Trisha Yearwood","Thinkin' About You","1","2","167906","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:0pdfN7nOHMYmKykzu1cyfm","Any Man Of Mine","Shania Twain","The Woman In Me","1","2","246760","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:52erNkfUKv34u02CjcHOPj","If I Didn't Have You","Randy Travis","On the Other Hand - All the Number Ones","1","12","186746","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:5qqA8yKkea4fP0fPVpYCbE","Sticks and Stones - 2007 Remaster","Tracy Lawrence","The Very Best of Tracy Lawrence","1","1","216706","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:4ICSwxlVyGaTquNqblL7Y9","I'm Gonna Be Somebody","Travis Tritt","Country Club","1","2","244933","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:6iy4PoAuZBMvtrlDX4VxC7","Check Yes Or No","George Strait","Strait Out Of The Box","4","17","200666","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:51uGoXB3PbXLyeH0aPGo7H","Hard Workin' Man","Brooks & Dunn","Hard Workin' Man","1","1","178493","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:2ulBBx6YQ3qY3ci34RadtN","She's In Love With The Boy - Single Version","Trisha Yearwood","Trisha Yearwood","1","1","248200","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:1A0I5aiVZRwecRlbQcweBh","Gone Country","Alan Jackson","16 Biggest Hits","1","2","259893","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:0PrZqDSdiTP8ZLBJHQB0zF","Only Here For A Little While","Billy Dean","The Very Best Of Billy Dean","1","1","214560","spotify:user:","2020-03-29T22:18:52Z"
