﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4pdoeoOQSu6DNznlfNc5FP","Top Of The World","Tim McGraw","Damn Country Music","1","7","233973","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:6GBUsjHfZuweYf5lQEz6mP","Crash My Party","Luke Bryan","Crash My Party","1","3","234760","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:6rqxivjFHp8K0yMiefG56g","Stay A Little Longer","Brothers Osborne","Stay A Little Longer","1","1","335266","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5j4hSQH0KaAc8f6cimnXIT","Fire Away","Chris Stapleton","Traveller","1","2","244333","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:6W9W8dSswA8KNegvl3W97V","Think of You","Chris Young, Cassadee Pope","I'm Comin' Over","1","3","218946","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:0HccAcPMNevr8ERJCWlFk3","Riser","Dierks Bentley","RISER","1","8","250000","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5BIwPoVMFnFIr8RzJunRvf","Wasted Time","Keith Urban","Wasted Time","1","1","233813","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:2ZekuYUoEIBrUwHOY0gcgB","How I'll Always Be","Tim McGraw","Damn Country Music","1","3","213453","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:65B1tEOv5W294uCKbmEcFV","I Hope You Dance","Lee Ann Womack","I Hope You Dance","1","2","294533","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:2Gy3XMLbBxACZ4tXdFRGr7","Pontoon","Little Big Town","Tornado","1","2","212320","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:2Z368ZCgUfv7tZYAGWGXLM","Mine Would Be You","Blake Shelton","Reloaded: 20 #1 Hits","1","6","239506","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:1soxUgYIZb1qx1c7o1Lc7z","Drunk On A Plane","Dierks Bentley","RISER","1","6","254466","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5jROdl6MhcmP3O7h2sVgtw","Parachute","Chris Stapleton","Traveller","1","4","253200","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5S5rw0WLVCAux5B5bWCehK","I Like The Sound Of That","Rascal Flatts","Rewind","1","8","209280","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:6olKv2HP3XgBpvVxAswowe","Bartender","Lady Antebellum","747","1","2","198266","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:4Pn0JlCUusD2QHjADuOzuV","Humble And Kind","Tim McGraw","Damn Country Music","1","11","259266","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:6wycnu8FWXsj68ig7BEot9","Blue Ain't Your Color","Keith Urban","Ripcord","1","7","230600","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:0E5ZrgbRKXwGvNhwzRaDGL","Late To The Party","Kacey Musgraves","Pageant Material","1","3","217880","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:4WRRCuJYRq7gUKiupxVH9W","Nobody To Blame","Chris Stapleton","Traveller","1","6","244146","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5XFu5S1vBY7sNHlheCapOz","Strip It Down","Luke Bryan","Kill The Lights (Deluxe)","1","3","241613","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:2lFtnEmkIPm2ClN55e2chV","Black","Dierks Bentley","Black","1","1","211160","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:46LI9mnlQ8fJHH47ioBubg","When You Say Nothing At All","Alison Krauss & Union Station","A Tribute Album","1","5","261120","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:7px4t7HGiuMUvFkEOpZEwp","Song for Another Time","Old Dominion","Meat and Candy","1","9","191826","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:05BgC2247XGi8ySwBzOO0o","Heartbeat","Carrie Underwood","Storyteller","1","4","209920","spotify:user:","2017-08-05T14:56:52Z"
